id,make_id,model_id,make_name,model_name,generation_years,year_from,year_to,engine_name,engine_ccm,power_kw,fuel_type,transmission,avg_consumption,min_consumption,max_consumption,sample_count,tank_count,low_confidence,source_url,scraped_at,first_seen_at,pct_motorway,pct_city,pct_country,consumption_summer,consumption_winter,fuel_grade_pct_premium,co2_g_per_km,fuel_cost_eur_per_100km,histogram_buckets
50_1377_cng_BlueMotion,50,1377,Volkswagen,Golf Sportsvan,,,,BlueMotion,,81,cng,,3.67,3.67,3.67,1,375,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_cng_VW_Golf_Sportcombi_TGI_110,50,1377,Volkswagen,Golf Sportsvan,,,,VW Golf Sportcombi TGI 110,,82,cng,,3.85,3.85,3.85,1,74,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6,50,1377,Volkswagen,Golf Sportsvan,,,,1.6,,85,diesel,,5.4,5.4,5.4,1,8,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_Bluemotion,50,1377,Volkswagen,Golf Sportsvan,,,,1.6 Bluemotion,,82,diesel,,4.43,4.43,4.43,1,4,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI,50,1377,Volkswagen,Golf Sportsvan,,,,"1,6 TDI",,81,diesel,,4.67,3.83,5.29,4,308,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_AUV_Comfortline,50,1377,Volkswagen,Golf Sportsvan,,,,1.6 TDI AUV Comfortline,,85,diesel,,4.95,4.95,4.95,1,132,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_BMT,50,1377,Volkswagen,Golf Sportsvan,,,,"1,6 TDI BMT",,81,diesel,,5.17,5.17,5.17,1,13,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_BMT_Lounge,50,1377,Volkswagen,Golf Sportsvan,,,,1.6 TDI BMT Lounge,,81,diesel,,4.96,4.96,4.96,1,80,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_BlueMotionTechnology,50,1377,Volkswagen,Golf Sportsvan,,,,1.6 TDI BlueMotionTechnology,,81,diesel,,4.95,4.95,4.95,1,39,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_Blue_Motion,50,1377,Volkswagen,Golf Sportsvan,,,,"1,6 TDI Blue Motion",,81,diesel,,5.15,5.15,5.15,1,106,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_Bluemotion,50,1377,Volkswagen,Golf Sportsvan,,,,1.6 TDI Bluemotion,,81,diesel,,5.15,5.15,5.15,1,89,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_Comfortline,50,1377,Volkswagen,Golf Sportsvan,,,,1.6 TDI Comfortline,,81,diesel,,5.38,5.38,5.38,1,130,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_Comfortline_BlueMotion,50,1377,Volkswagen,Golf Sportsvan,,,,1.6 TDI Comfortline BlueMotion,,81,diesel,,5.28,5.28,5.28,1,180,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
50_1377_diesel_1_6_TDI_DSG,50,1377,Volkswagen,Golf Sportsvan,,,,1.6 TDI DSG,,81,diesel,automatic,5.07,5.07,5.07,1,48,True,https://www.spritmonitor.de/en/overview/50-Volkswagen/1377-Golf_Sportsvan.html,2026-03-19T10:49:48.802215Z,2026-03-19T10:49:48.802215Z,,,,,,,,,
